Unnamed: 0,城市,职位类型,学历要求 ,岗位名称,地址,薪资,年薪,学历
63,北京,人力资源总监,本科,人力资源专家 (MJ000901),b3ea28e919bba4361HF40ty8ElFW,35-50K·14薪,595000,"['5-10年', '本科']"
64,北京,人力资源总监,本科,人力总监,989790059ae0b1301HB62tu7EFVR,15-25K,240000,"['5-10年', '本科']"
65,北京,人力资源总监,本科,人力经理/总监,0b43aebef1bddcc31HJ72dS-E1pV,20-30K,300000,"['5-10年', '本科']"
66,北京,人力资源总监,本科,人力资源总监,6526d672169a87a21Xx829u_GFpY,70-100K,1020000,"['5-10年', '本科']"
67,北京,人力资源总监,本科,人力资源总监,096c2428267c2f871XR43ty6ElJU,50-70K·15薪,900000,"['5-10年', '本科']"
68,北京,人力资源总监,本科,行政人资总监-北京总部,83879b7602c8da491HV-2NW6EVJU,15-25K,240000,"['5-10年', '本科']"
69,北京,人力资源总监,本科,人力资源总监,70b5e8538899986c1Hdy3dS5FFVU,20-30K,300000,"['10年以上', '本科']"
70,北京,人力资源总监,本科,人力资源总监,10083f085ba256711XF80924EFpX,30-40K,420000,"['5-10年', '本科']"
71,北京,人力资源总监,本科,人力资源经理/主管,db555f01df667e8f1X1-3Ni6FVRV,11-20K,186000,"['3-5年', '本科']"
72,北京,人力资源总监,本科,人力资源总监/hrd,e308a32b24d528be1HN82927GFFZ,20-25K·14薪,315000,"['5-10年', '本科']"
73,北京,人力资源总监,本科,人力资源负责人,4d4012fcf9ded3bc1HJy3965FlVT,25-35K,360000,"['5-10年', '本科']"
74,北京,人力资源总监,本科,人力资源总监(J16337),15025f7b16d8c3381Hxz2dS4F1pY,30-50K,480000,"['5-10年', '本科']"
75,北京,人力资源总监,本科,人力资源总监,badb3dddc5bb86831HBz0tu7ElpR,35-45K,480000,"['10年以上', '本科']"
76,北京,人力资源总监,本科,人力资源部总监,5d73f6c2481132191Hx_09S8FVBS,15-30K,270000,"['5-10年', '本科']"
77,北京,人力资源总监,本科,人力资源总监,36c9c82b682404931HR-09m5FlNR,25-40K,390000,"['10年以上', '本科']"
78,北京,人力资源总监,硕士,人力资源总监,61fd4b03d0fed3a21HN62du7GVVS,15-30K,270000,"['5-10年', '硕士']"
79,北京,人力资源总监,硕士,人力资源总监hrd,8fbdef6ad6b80f4f1HBy29y9EFJZ,30-45K·20薪,750000,"['5-10年', '硕士']"
80,北京,人力资源总监,本科,人力资源副总经理(J10014),60ecd14414001dfc1Hd-2dm0ElRY,60-80K·14薪,980000,"['10年以上', '本科']"
81,北京,人力资源总监,本科,人力资源总监,bec60687f82ab1111HB83NS5FFNZ,20-40K,360000,"['10年以上', '本科']"
82,北京,人力资源总监,本科,hrd/hrvp,5b9637438a46c79c1HJ829-4FFNQ,50-70K,720000,"['10年以上', '本科']"
83,北京,人力资源总监,本科,人力资源总监hrd,726cb58ac9ffbc0c1HF529W1EVRS,23-40K,378000,"['10年以上', '本科']"
84,北京,人力资源总监,硕士,人力资源总监,325dc79461126e4f1HV_39q0GFBT,25-45K·15薪,525000,"['5-10年', '硕士']"
85,北京,人力资源总监,本科,人事行政总监,b18a550f2fd0491d1nJ70tq7EVtQ,15-20K,210000,"['3-5年', '本科']"
86,北京,人力资源总监,本科,人力资源总监,e7f3bf339099c3e11HN72t65GFBV,20-25K,270000,"['5-10年', '本科']"
87,北京,人力资源总监,本科,人力资源总监hrd,576351acd37973721HN_39u0GFdV,28-55K,498000,"['5-10年', '本科']"
88,北京,人力资源总监,本科,人力资源总监,265d8dd8a020d66d1XF90921E1BZ,20-40K,360000,"['经验不限', '本科']"
89,北京,人力资源总监,本科,人力资源总监hrd,684d3c38cec49ae91HJy3t24E1RZ,15-25K,240000,"['5-10年', '本科']"
90,北京,招聘,本科,hr实习生(招聘方向),d292ccb0d4150be01Xx42t27EFBX,150-180元/天,41250,"['5天/周', '3个月', '本科']"
91,北京,招聘,本科,招聘实习生（有转正）,81776be0f09e8ea31HN50ty9EFtX,300-400元/天,87500,"['4天/周', '3个月', '本科']"
92,北京,招聘,本科,人力招聘实习生,becd6764e04fb6c01Hx62Nm1ElpX,150-250元/天,50000,"['5天/周', '5个月', '本科']"
93,北京,招聘,学历不限,寻找招聘专员/早九晚六/有社保/职责招骑手,ac97d7c7d7e4050d1HJy3dq9GFtU,5-10K,90000,"['经验不限', '学历不限']"
94,北京,招聘,中专/中技,人事行政专员,1fc58b856c4cb7421HJy3t-9FlBY,5-6K,66000,"['1-3年', '中专/中技']"
95,北京,招聘,大专,招聘专员,c7d904c2e149fafb1HFz2N-1EFFS,7-9K,96000,"['1-3年', '大专']"
96,北京,招聘,本科,hr招聘实习生(A172642),96b4d76df8b746721Hx92d68GVtQ,120-150元/天,33750,"['5天/周', '3个月', '本科']"
97,北京,招聘,学历不限,招聘主管,93ddfccea5d654e91HFy3dq7EVBT,6-10K,96000,"['1-3年', '学历不限']"
98,北京,招聘,大专,招聘专员,dfa867c2c77691f51HJ7392_GFVZ,5-8K,78000,"['1-3年', '大专']"
99,北京,招聘,本科,招聘专家-底薪8000+双绩效,a9135ef06b1c59d11Hx-0t6_F1pU,12-23K,210000,"['1年以内', '本科']"
100,北京,招聘,本科,招聘经理（产研+销售+职能）,5b92cd0c098c06771HN80tq7GVNV,20-35K·15薪,412500,"['5-10年', '本科']"
101,北京,招聘,本科,招聘实习生,dca2ccb83b0d41ae1Hx_3NS7EVtR,200-250元/天,56250,"['5天/周', '3个月', '本科']"
102,北京,招聘,硕士,全球化招聘专家,8480cc88d10f81bb1HB82tq_GFdX,20-40K·14薪,420000,"['3-5年', '硕士']"
103,北京,招聘,本科,人力招聘实习生,e0d16296c8417da71HF_39W8GFFX,3-5K,48000,"['在校/应届', '本科']"
104,北京,招聘,本科,招聘专员,e6f4eb28313032a81Hd829u6ElBU,5-6K,66000,"['1-3年', '本科']"
105,北京,招聘,本科,招聘专员（本科）,72a74784db0fe8cc1HV_3Nq-F1NU,5-8K,78000,"['1-3年', '本科']"
106,北京,招聘,本科,招聘专员,ee75062c5d787f4c1nVz2Nm_ElFX,7-12K,114000,"['1-3年', '本科']"
107,北京,招聘,大专,招聘助理/主管助理+双休+补助,48c19a1f59cca9311HJz0t68GFZU,4-8K,72000,"['经验不限', '大专']"
108,北京,招聘,本科,Recruiter,0d052398a3a7f9d01Xx529-9FFZV,8-10K·13薪,117000,"['3-5年', '本科']"
109,北京,招聘,本科,药企招聘Onsite Recruiter（英语）,74eddc6352b974f61Hxy0t28GFRU,12-14K,156000,"['3-5年', '本科']"
110,北京,招聘,本科,人力资源实习生,80364575d14f47091Xd729y0GVtX,150-200元/天,43750,"['4天/周', '5个月', '本科']"
111,北京,招聘,本科,小米汽车-招聘（外包）,2b33fca3bfca5e991Hx_3t68EFJY,8-11K,114000,"['1-3年', '本科']"
112,北京,招聘,本科,招聘专家 (MJ000155),8ea6ecb25f9ab77c1HF92N-8ElRV,15-25K·14薪,280000,"['5-10年', '本科']"
113,北京,招聘,大专,人事招聘专员+早9晚6+双休不加班+底薪7000,f3c312bd2be7f9d21HN52dq-EFFS,7-12K,114000,"['1-3年', '大专']"
114,北京,招聘,本科,招聘专员,52cdf7f8da7ed7e51HN-0927E1ZZ,8-13K·15薪,157500,"['1-3年', '本科']"
115,北京,招聘,本科,招聘专员,f35dd0244a0ff3351HJ62t-1GVdS,8-11K,114000,"['1-3年', '本科']"
116,北京,招聘,大专,招聘专员,536957850d3165b51n1609u5EFNQ,5-7K,72000,"['1-3年', '大专']"
117,北京,招聘,本科,高级招聘HR,32ec589c811d13a71HB_3dm5EldT,10-15K,150000,"['3-5年', '本科']"
118,北京,招聘,高中,人事招聘专员,f872fb6f537d96a21X193tm5FlpW,5-10K,90000,"['1-3年', '高中']"
119,北京,招聘,大专,人事招聘,ead40feb87b304dd1HF82d68GFNQ,7-11K,108000,"['经验不限', '大专']"
120,北京,HRBP,本科,HRBP（营销）,217736b2e88b38ec1HZy2dy5FltW,12-18K·13薪,195000,"['5-10年', '本科']"
121,北京,HRBP,本科,hrbp,9fd9832c994a1ca31X1-2NW7GVBX,10-15K,150000,"['3-5年', '本科']"
122,北京,HRBP,本科,海外业务部HRBP,197b75a40f5fdca81HJ92d-6GVtY,10-15K·13薪,162500,"['3-5年', '本科']"
123,北京,HRBP,本科,海外HRBP-中东(C3094),07910b4e028a1afb1HV82dy0ElVS,20-35K·15薪,412500,"['3-5年', '本科']"
124,北京,HRBP,本科,HRBP（华北物业）,981a5994aa40fb5e1HJ_3N-9FldX,14-24K·13薪,247000,"['3-5年', '本科']"
125,北京,HRBP,本科,HR招聘实习生,45b4d5d6f8dcc7a91nF_3Nu8GVtV,200-250元/天,56250,"['4天/周', '4个月', '本科']"
126,北京,HRBP,本科,HRBP,22b588560662d9761Hdz2N29FlNQ,9-13K,132000,"['经验不限', '本科']"
127,北京,HRBP,本科,HRBP,12c1b95a61cb479a1XV53t2_FFNQ,8-10K,108000,"['1-3年', '本科']"
128,北京,HRBP,本科,hrbp,3998c7de4843f2471HFy2dS_EFNR,8-10K,108000,"['1-3年', '本科']"
129,北京,HRBP,本科,hrbp——学习机销售,216dc1ed806f90a01Hxz3927FFpR,10-15K·14薪,175000,"['1年以内', '本科']"
130,北京,HRBP,本科,HRBP,7fceef10ca0bc81f1HZ83N64FFRU,15-25K,240000,"['5-10年', '本科']"
131,北京,HRBP,本科,京东-京东健康-HRBP实习生,28f36818a0ecad821XF42dy9GVJZ,300-350元/天,81250,"['5天/周', '3个月', '本科']"
132,北京,HRBP,本科,HRBP-北京,d273c67347c541b91X1_2dm1FlBX,12-16K,168000,"['3-5年', '本科']"
133,北京,HRBP,本科,hrbp(J10213),ca22af8a03a970dc1HN539W6FFRX,20-25K·16薪,360000,"['5-10年', '本科']"
134,北京,HRBP,本科,人力资源-HRBP专员（24届）,09d8d1f70d4d93741Hx-2Ni0E1NY,8-12K,120000,"['在校/应届', '本科']"
135,北京,HRBP,本科,HRBP(J10960),461df58d105461781HB70tW8GVZU,18-22K·14薪,280000,"['3-5年', '本科']"
136,北京,HRBP,硕士,【外企 支持远程实习】HRBP实习生,4777a72be073c4651HN409y5FFpX,150-200元/天,43750,"['5天/周', '3个月', '硕士']"
137,北京,HRBP,本科,hrbp经理,e7c29b1a8645b7e41HJ90ti9EVNT,13-18K,186000,"['3-5年', '本科']"
138,北京,HRBP,本科,HRBP实习生(A240622),50fadc534d8fab011Hd-3d--EVNQ,150-200元/天,43750,"['5天/周', '3个月', '本科']"
139,北京,HRBP,大专,HRBP（信息流广告）,15b2682233989b311Hxy29y5FFBX,12-18K,180000,"['1-3年', '大专']"
140,北京,HRBP,本科,hrbp,a80295e9eaa061681HJ-09m_GVZS,10-12K,132000,"['1-3年', '本科']"
141,北京,HRBP,本科,hrbp实习生,f8177a61914f39f71HJ_3tu5FVJZ,150-180元/天,41250,"['5天/周', '3个月', '本科']"
142,北京,HRBP,本科,HR实习生,654cf9851de599231Xd92ti1F1BY,140-150元/天,36250,"['5天/周', '3个月', '本科']"
143,北京,HRBP,本科,hrbp,411640836332fe481HJz2926FFZY,15-25K,240000,"['3-5年', '本科']"
144,北京,HRBP,本科,人力资源实习生,22508f5164a773ed1HF82N29F1RU,100-120元/天,27500,"['5天/周', '6个月', '本科']"
145,北京,HRBP,学历不限,HRBP岗 - 国际物流-X6962E,033c98a7a93e15541Hx42tu4EFVZ,20-40K·16薪,480000,"['经验不限', '学历不限']"
146,北京,HRBP,本科,hrbp,3ad7b338cf844be51XNz0t-6FFFT,8-12K,120000,"['3-5年', '本科']"
147,北京,HRBP,本科,HRBP,0e544abe3625bfca1HN939m4FlJZ,25-50K·14薪,525000,"['5-10年', '本科']"
148,北京,HRBP,本科,HRBP,5f0b2c19a6f48fca1XV529y5FVRW,3-6K,54000,"['1-3年', '本科']"
149,北京,HRBP,本科,HRBP-新业务（北京/上海/深圳/苏州）,03655f3606232f971HN73920FVVY,15-30K,270000,"['1-3年', '本科']"
150,北京,培训,本科,培训专家,b9909d6a0c0b27c51HV93Nu7FlNQ,15-25K·15薪,300000,"['3-5年', '本科']"
151,北京,培训,本科,业务培训专家,25ef50ac712d7f711HJ42Nu8GVRU,20-40K·13薪,390000,"['5-10年', '本科']"
152,北京,培训,本科,培训专员,9718fb2d6140f8901HJ93tW4EVZY,8-12K,120000,"['经验不限', '本科']"
153,北京,培训,本科,药店培训师,3b1f723c39f6ebde1Hd82dm9E1ZV,7-12K,114000,"['1-3年', '本科']"
154,北京,培训,本科,高级培训经理,3a2c567112c1073e1Hx909u5FlZW,30-40K,420000,"['5-10年', '本科']"
155,北京,培训,大专,培训主管,3653b930f209cef11HB83dS4GVpT,10-15K,150000,"['3-5年', '大专']"
156,北京,培训,本科,生活服务-培训专家岗,fcab5642be8e0aab1Hx_29W8EFdW,20-40K·15薪,450000,"['3-5年', '本科']"
157,北京,培训,本科,培训经理/主管,01d7332e6f6d4bc01HVz29W9FVVQ,8-12K,120000,"['5-10年', '本科']"
158,北京,培训,本科,项目经理（培训方向）,ebb87274e405456d1XV60tu4EltT,8-13K,126000,"['3-5年', '本科']"
159,北京,培训,本科,培训专家,29bdf7b79fc12e8f1HN_3dq-EVdZ,30-35K·15薪,487500,"['5-10年', '本科']"
160,北京,培训,本科,培训高级经理,9a0925e6f34e243c1HF62dW1F1RT,20-25K,270000,"['5-10年', '本科']"
161,北京,培训,本科,培训部总监,81d85b83161f7e8d1Hdz3dW8EFNW,35-55K·13薪,585000,"['10年以上', '本科']"
162,北京,培训,大专,餐饮培训,b699c8748f1300e81HN72N2-EVFW,6-8K,84000,"['1-3年', '大专']"
163,北京,培训,大专,餐饮训练主管,9973d7cfbeb3c88b1Hx82Ny_GVNU,8-12K,120000,"['3-5年', '大专']"
164,北京,培训,本科,培训助理,5c285986fa604ec01HVz2t21FFtZ,5-10K,90000,"['1-3年', '本科']"
165,北京,培训,大专,培训专员,2ce00f4f3857e6711Hd539y4FltR,4-5K,54000,"['在校/应届', '大专']"
166,北京,培训,本科,培训专员,bddd8bb9f04cb7a91Hx829y7F1dY,11-12K,138000,"['1-3年', '本科']"
167,北京,培训,本科,培训主管,6da9420af7f0f37a1Hxy09q5EVFS,10-14K,144000,"['3-5年', '本科']"
168,北京,培训,本科,培训经理,afb4d201d40bc8e71nJ43du9EltU,10-15K,150000,"['3-5年', '本科']"
169,北京,培训,本科,培训主管,8894f826e35a37fb1X162dq5F1VS,11-20K,186000,"['3-5年', '本科']"
170,北京,培训,本科,人才发展/培训主管（汽车零部件）,fa4df0f4adc3859e1HB62N61GFFZ,10-13K,138000,"['5-10年', '本科']"
171,北京,培训,本科,培训经理,ead106675b6d63691HJ83Nu_FFRU,20-30K·14薪,350000,"['3-5年', '本科']"
172,北京,培训,本科,内训师,200efcf350332b631HZ-2NW6ElpZ,15-25K,240000,"['1-3年', '本科']"
173,北京,培训,本科,餐饮培训经理,a1b499cb2f4cf4431HB_3ti5FlBQ,15-20K,210000,"['5-10年', '本科']"
174,北京,培训,本科,人力主管,d2f9b3c153cc5c6b1HJ52924FVRQ,15-20K,210000,"['5-10年', '本科']"
175,北京,培训,本科,销售培训专家,4b5d5a465f855fff1Hx62d69F1dR,18-23K·16薪,328000,"['5-10年', '本科']"
176,北京,培训,本科,学习发展经理,f0ba4d32fc4ff17e1HF73t2_GVFW,8-10K,108000,"['3-5年', '本科']"
177,北京,培训,本科,培训主管,455e38531701058d1Hd-3dS7E1pV,12-18K,180000,"['3-5年', '本科']"
178,北京,培训,本科,企业培训项目经理,f070c97ba9524dc31Xx70t66EFtU,10-15K·14薪,175000,"['3-5年', '本科']"
179,北京,培训,本科,培训专家(J31043),fc430ecd5e4b37fa1HJ83t-1EVpY,15-25K,240000,"['5-10年', '本科']"
180,北京,员工关系,大专,员工关系专员,d76991c1961ed6601Hxy29S0FFpX,8-10K,108000,"['1-3年', '大专']"
181,北京,员工关系,本科,员工关系经理,67b71f426cded1e71HZ-2d-4FlpV,18-20K,228000,"['5-10年', '本科']"
182,北京,员工关系,本科,ssc专员,9081bc7914cbc5171HN63N26F1ZX,6-7K,78000,"['1-3年', '本科']"
183,北京,员工关系,本科,员工关系主管--HRIS/ER,28a28ab0382233251HJy2dS9EVdU,10-15K,150000,"['5-10年', '本科']"
184,北京,员工关系,本科,HRSSC专家,bbf093353ec0bd501HN_2t-4ElpX,20-40K·13薪,390000,"['5-10年', '本科']"
185,北京,员工关系,本科,劳动关系岗（正编岗）,9ffd385c9cb9cbea1Hdz3ti1GVNR,12-16K,168000,"['5-10年', '本科']"
186,北京,员工关系,本科,员工关系专家,325c0741ebb860f91HN93965EVFU,15-20K·15薪,262500,"['5-10年', '本科']"
187,北京,员工关系,本科,北方华创微电子-HRSSC实习生,3e05902a867a78d71HJ829S4FFZU,200-300元/天,62500,"['5天/周', '3个月', '本科']"
188,北京,员工关系,本科,员工关系实习生,a70a4f264425d9621XZ43N25FFdU,100-150元/天,31250,"['4天/周', '3个月', '本科']"
189,北京,员工关系,本科,员工关系专员/主管,35e1784bc35b92481HB92t-_FVdW,8-11K·14薪,133000,"['1-3年', '本科']"
190,北京,员工关系,本科,人力资源实习生（员工关系方向）,9297f836833a4aa51HB609u8FVVW,100-130元/天,28750,"['3天/周', '2个月', '本科']"
191,北京,员工关系,大专,HRBP-员工关系方向,c3b619064500cfb61Hd_0965FFRS,10-12K,132000,"['5-10年', '大专']"
192,北京,员工关系,本科,员工关系主管/经理,b71fd0c005f149411HF62dW-FlRT,10-15K,150000,"['3-5年', '本科']"
193,北京,员工关系,本科,员工关系经理,ecff6ac4e1d630781HN609q4FFFZ,15-20K,210000,"['3-5年', '本科']"
194,北京,员工关系,本科,员工关系主管/经理,26498a7b52ae266d1Hd729S-FlNS,11-20K,186000,"['3-5年', '本科']"
195,北京,员工关系,本科,员工关系,5207bc6fb28681c41Xd83tW4FFJU,11-15K,156000,"['5-10年', '本科']"
196,北京,员工关系,本科,人力资源实习生 (MJ038074),789249e8237a9b3f1HN909S_EFtU,170-200元/天,46250,"['3天/周', '3个月', '本科']"
197,北京,员工关系,本科,员工关系,78e3a45d60fafee51HN70ti-FFRV,12-18K,180000,"['5-10年', '本科']"
198,北京,员工关系,本科,员工关系专员（社保公积金）,e7ff394db1e5f9f81HR_2N60GVpS,10-12K,132000,"['3-5年', '本科']"
199,北京,员工关系,本科,人力资源（偏员工关系方向）,880ff760dd82fe361Hdz2dS0EFZT,9-13K,132000,"['经验不限', '本科']"
200,北京,员工关系,本科,员工关系&培训专家(J10350),72a0b1969c8f103c1HN92t--FlFZ,12-24K,216000,"['3-5年', '本科']"
201,北京,员工关系,本科,员工关系专员,583b8c855c7198591HN829q-ElpZ,12-24K·15薪,270000,"['1-3年', '本科']"
