Unnamed: 0,城市,职位类型,学历要求,岗位名称,地址,薪资,年薪,经验不限,,
29,北京,Java,本科,java,4bae8501874aa21c1HJ629-8ElRQ,8-11K,114000,1-3年,,
30,北京,C/C++,本科,C++,40e1faa254f62c221nxy2Ni9EVNU,5-10K·13薪,97500,在校/应届,,
31,北京,C/C++,本科,CATIA/NX/CREO二次开发工程师,7922c9cfbe9658ae1HN-2dS9GFRV,8-12K,120000,3-5年,,
32,北京,C/C++,本科,C++,dcf1f1fd91f17a371XN829y5FFRZ,7-10K·13薪,110500,在校/应届,,
33,北京,C/C++,本科,C＋＋开发工程师,a4e25706e39a49651XZ62tS8FldQ,9-14K·13薪,149500,经验不限,,
34,北京,C/C++,本科,计算机开发工程师学徒,9993f39316aed4931Hx62t69FFBV,2-4K,36000,经验不限,,
35,北京,C/C++,本科,C＋＋开发工程师,e469801faed0437c1nJ73dW0FVZY,5-7K·13薪,78000,经验不限,,
36,北京,C/C++,本科,c++开发工程师,1f5b278f0a0f0cd61XNy3N-8FltS,9-14K,138000,1-3年,,
37,北京,C/C++,本科,软件开发工程师,cb7907e2b9a4bca01HB529y7GFZW,6-8K,84000,在校/应届,,
38,北京,C/C++,本科,C/C++开发工程师,0dcc5df37600c9d33n193969GVI~,8-11K·14薪,133000,经验不限,,
39,北京,C/C++,初中及以下,编程教师,db3ecb312f10bc1f1nd73t-_FFNY,5-10K,90000,1-3年,,
40,北京,C/C++,本科,产品开发工程师,fd6df9e3edd898f71HN939S9GFNY,8-13K,126000,5-10年,,
41,北京,C/C++,大专,QT软件工程师,0141220abef186521HZ42ty1FFFY,8-13K,126000,1-3年,,
42,北京,C/C++,本科,C++开发工程师(欢迎毕业生),41c3c3defb1d177333R709S9GFs~,6-11K,102000,经验不限,,
43,北京,C/C++,本科,c++软件开发工程师,6f51891c2265e9eb33B_3N29EFo~,8-12K,120000,1-3年,,
44,北京,C/C++,本科,c++开发工程师,2c7680f24f8742241HZ929S4GFRU,8-13K,126000,1-3年,,
45,北京,C/C++,本科,机器人软件工程师,e5caf4447bf70f6d1Hx-2tS7FFJX,7-12K·14薪,133000,1年以内,,
46,北京,C/C++,本科,Rust研发工程师,d5f5674700f118f81Hx-3d64FlpV,8-12K,120000,在校/应届,,
47,北京,C/C++,本科,c++高级软件工程师,e360805239733b811HFy2tu8F1NS,5-10K,90000,5-10年,,
48,北京,C/C++,本科,高级软件工程师 Electron & 集群管理方向,efbf2d48849b98481Hx73dW5GFJZ,3-6K,54000,5-10年,,
49,北京,C/C++,本科,c++工程师（短期3个月）,9bbb98cd9afb7c701HN90tW6F1RY,8-10K,108000,3-5年,,
50,北京,C/C++,本科,C++开发,315b2ed40eaf12eb1nR-3d67GVtR,9-12K,126000,1-3年,,
51,北京,C/C++,本科,c++/qt开发工程师,561f59cc6d97c5101Hx92dq7EFtX,7-12K,114000,1-3年,,
52,北京,C/C++,本科,QT界面开发工程师,3a3fa23edce2969b1nB52N29F1NV,9-13K,132000,1-3年,,
53,北京,C/C++,大专,c++开发工程师,1fe724e3886a41b21XJ_2Ni4GFdR,5-10K,90000,1-3年,,
54,北京,C/C++,本科,软件开发工程师,eccbd612789df54e1HZ_2N64FVRY,6-9K,90000,1-3年,,
55,北京,C/C++,本科,c++开发与测试工程师,3b3923b754c643d91HJ509q-FFJU,7-11K,108000,3-5年,,
56,北京,C/C++,本科,多旋翼无人机调试工程师,96296f1fecfdd1a41HN72d25FlpS,8-13K,126000,经验不限,,
57,北京,C/C++,本科,研发工程师,4028080367dc07191HN829W7GVJS,6-11K,102000,在校/应届,,
58,北京,C/C++,本科,C++,bf9f6288fe4075181nZ42dm9FFs~,5-10K,90000,经验不限,,
59,北京,C/C++,本科,C++软件开发工程师,f56eef0c891b0ca933F-39i6FVI~,8-13K,126000,经验不限,,
60,北京,PHP,本科,php工程师,87fdf6e78c2f16231HR_3NW0FFZR,8-12K,120000,1-3年,,
61,北京,PHP,大专,php开发工程师,c017c2435287d0b71HJ42dS-GFRS,8-10K,108000,1-3年,,
62,北京,PHP,本科,php工程师,39ccbbb6e8b92e0b1HF62968FVJX,4-7K,66000,经验不限,,
63,北京,PHP,本科,php,93d62ae5265469451Hx52d6-FVJT,5-10K,90000,1年以内,,
64,北京,PHP,大专,中级php开发工程师,de9b9e689f4cd6931HZ_3dW6ElNQ,6-7K,78000,1-3年,,
65,北京,PHP,本科,高级php工程师,0c788dfcff7c7efb1HV939W6EVpS,8-12K,120000,3-5年,,
66,北京,PHP,大专,PHP开发,90331bc239dcf7e41H162ty1FFpS,2-6K,48000,经验不限,,
67,北京,PHP,大专,PHP工程师,26bc42b4e14f1c1f1HF43Ny8FltU,9-11K,120000,5-10年,,
68,北京,PHP,大专,PHP工程师,262b0b745e7a654f1n163dW4GVZS,9-12K,126000,1-3年,,
69,北京,PHP,大专,php后端,60c8abd0bb78a2841Hx92dy1FVtY,7-8K,90000,3-5年,,
70,北京,PHP,本科,资深PHP服务端工程师,a4a945ade783ff561Hx-3tS0FVBQ,8-12K,120000,3-5年,,
71,北京,PHP,大专,企事业网站php程序开发制作，html5前端设计,7a4f6b318dc0d4ba1XB809i6GVZQ,5-6K,66000,1-3年,,
72,北京,PHP,大专,PHP程序员,14c23964c62a11741X162N6_E1pX,9-10K,114000,3-5年,,
73,北京,PHP,大专,PHP,9a0e6a6af1a01abc1n1z29m1E1pW,8-10K,108000,1-3年,,
74,北京,PHP,大专,php中高级工程师,75a8831bacf652d41Hxy0ti8E1JZ,5-10K,90000,1-3年,,
75,北京,PHP,本科,高级php工程师,fe71b179f1c224d21HJ73NS9FVZW,9-14K,138000,1-3年,,
76,北京,PHP,本科,PHP开发工程师,522328c0c14e5a171HNz3d-0E1FY,8-10K,108000,在校/应届,,
77,北京,PHP,本科,php前端开发,e01744bc05f02a721Hxz2dy6GVBQ,4-7K,66000,1-3年,,
78,北京,PHP,本科,PHP开发工程师,fe067bf1f5a439233nxz0t-4FVY~,9-14K,138000,3-5年,,
79,北京,PHP,大专,php开发,a80400509cd841261Xxz3t6-F1FX,5-8K,78000,经验不限,,
80,北京,PHP,大专,php开发,53f5f0b5759f70f71HZ72t61FldQ,7-10K,102000,1-3年,,
81,北京,PHP,本科,php初级开发工程师,85841720de790e5f1Hx73d-5FlZY,6-8K,84000,在校/应届,,
82,北京,PHP,本科,php程序员,dfda6f387370cff81Xx53dq1EVNS,7-12K,114000,1-3年,,
83,北京,PHP,大专,PHP,73d39dc56e2434ea1nF52969EFo~,8-15K,138000,1-3年,,
84,北京,PHP,本科,PHP工程师,8e2891f34d0b1fc21Hx53d-5FVo~,7-12K,114000,1-3年,,
85,北京,PHP,大专,PHP,28ddefdbbb7774421HR90929FFNV,8-9K,102000,3-5年,,
86,北京,PHP,大专,php开发工程师双休,aa0bcdeb382d83dd1XN83tq8FVtR,8-13K,126000,1-3年,,
87,北京,PHP,本科,php,fb110b9cc21be6411HN73Nq1E1BR,8-13K,126000,1-3年,,
88,北京,PHP,本科,商城后端技术维护,44f47580afc0e8f81HN929y_F1VQ,8-12K,120000,1-3年,,
89,北京,PHP,大专,php开发工程师,3fa3d57eac1d86c91Hx509i0GFtV,8-12K,120000,1-3年,,
90,北京,Python,本科,Python,eae4fb03a2d1e48e1Hx62di0E1tW,9-14K,138000,3-5年,,
91,北京,Python,大专,python开发,64792e3a934824f61HNy09i5GVZY,7-12K,114000,1-3年,,
92,北京,Python,本科,后端开发工程师,5fe5e9eac4e576fa1HFz0tW_FVNY,8-12K,120000,在校/应届,,
93,北京,Python,大专,研发工程师,2fcf99be1fb9619e1HN809W1ElNT,9-10K,114000,经验不限,,
94,北京,Python,本科,Python,b80061749644ccf61XF-39-_FldU,9-14K,138000,经验不限,,
95,北京,Python,本科,数据采集工程师（福州驻场）,5595e1ee843936a91XN-29-8F1dV,8-13K,126000,1-3年,,
96,北京,Python,本科,Ai智能体训练技术人员,beab6051292309811Hx709m_E1VU,8-10K,108000,3-5年,,
97,北京,Python,本科,Python,2a4fc268f8af97770nZ70tq_FlE~,6-8K,84000,1-3年,,
98,北京,Python,本科,python开发工程师,4079c3619f993b6a1HB82Nu1E1VY,7-12K·13薪,123500,1-3年,,
99,北京,Python,本科,Python,2186ce2462db981f1Hx_39W7ElRZ,5-6K,66000,1年以内,,
100,北京,Python,本科,python开发工程师,f688e37ff1ae780e1Hd62d29ElNU,7-10K,102000,经验不限,,
101,北京,Python,本科,中级python开发工程师,325adecc2dcca9db1HV93tS5ElFU,7-12K,114000,3-5年,,
102,北京,Python,大专,计算机信息管培师,0503019ba1eb0de01HFy3Ni8FFpR,6-10K,96000,经验不限,,
103,北京,Python,本科,云打印开发,b6a8e081699b74811Xx529W7FlBW,9-12K,126000,1-3年,,
104,北京,Python,大专,rpa开发工程师,2bd4219f63c510261X142tm5GVdW,9-12K,126000,1年以内,,
105,北京,Python,本科,软件工程师,af6793932fb3ecaa1Hx73dS6GFdR,8-9K,102000,1年以内,,
106,北京,Python,本科,rpa工程师,037f42769a2cfd681Hxz3d26EFVW,6-10K,96000,经验不限,,
107,北京,Python,本科,爬虫实习生,4b47da99dc66ab3b1Hx53dW0GVFW,2-4K,36000,经验不限,,
108,北京,Python,本科,python开发,a5b6791ad1be34c01Hx83dS1F1VZ,9-13K,132000,1-3年,,
109,北京,Python,本科,python运维开发工程师,1deec7c8ea7ebc051HZ729W8EVdR,8-13K,126000,3-5年,,
110,北京,Python,大专,RPA开发工程师,4a86233a203b72cd1X1-0964GVZX,8-12K,120000,1-3年,,
111,北京,Python,本科,软件工程师,232ff1ae2422bb351Hx62di1E1pR,8-13K,126000,经验不限,,
112,北京,Python,本科,测试开发,5d9fb3bd666bd2301Hx82d-4FVFY,9-14K,138000,1-3年,,
113,北京,Python,本科,开发工程师,f0bd8442b94069a71Hx92d6-GFpU,8-13K,126000,1-3年,,
114,北京,Python,本科,后端开发工程师,925fb2ea7d8b5af61Hx429u5E1dU,8-10K,108000,在校/应届,,
115,北京,Python,本科,python工程师 外包联想统本计算机专业,1683b080dda1701d1Hx92Nq9GVBX,8-9K,102000,经验不限,,
116,北京,Python,本科,25届后端研发工程师实习生（深圳工作）,afb7c81239835d561Hx92dy-FVdV,8-13K,126000,在校/应届,,
117,北京,Python,本科,AI样本处理,afa5a71bb78a6e681Hx93Nu0F1tY,9-13K,132000,1-3年,,
118,北京,Python,大专,Python,59dbc6f491c3e7791Hxz2dW-ElFZ,8-12K,120000,3-5年,,
119,北京,Python,本科,Python实习生,a1687cfa93b1cd171Hx929i_F1pY,4-5K,54000,在校/应届,,
120,北京,C#,本科,软件工程师,a4e82737866064f10XJ83di6EFs~,8-13K,126000,经验不限,,
121,北京,C#,大专,软件开发工程师,0c7538be2e23fdc61Hxy3du1GVBV,9-14K,138000,3-5年,,
122,北京,C#,本科,C#,973d185b99234de31XR93d--FVU~,6-11K,102000,1年以内,,
123,北京,C#,本科,cad二次开发,b587197c4d5ee5b71XV82d2-EFVT,6-11K,102000,1-3年,,
124,北京,C#,本科,C#开发,73d575e81915b8b71nZ92961FFRX,9-12K,126000,1-3年,,
125,北京,C#,本科,Revit，CAD二次开发工程师,e3fe3da5a1c711be1XN539m_GVRQ,8-12K,120000,经验不限,,
126,北京,C#,本科,C#,cb3f6828deef96831nN50tS5EVM~,8-13K,126000,1-3年,,
127,北京,C#,本科,C#、C++ 软件工程师,148ea9e9a6e42a501XN-0tm5EVVR,9-14K,138000,1年以内,,
128,北京,C#,本科,.net软件开发工程师,4f7b10f6dcf597201nxy09u7FVdZ,6-11K,102000,1-3年,,
129,北京,C#,本科,wpf软件开发工程师,37981a08f9ebcb9c1XNz3ti5EVJQ,9-14K·14薪,161000,1-3年,,
130,北京,C#,本科,C#,6089f64020b362d51Hx_3d-7FFRS,7-8K,90000,经验不限,,
131,北京,C#,大专,金蝶软件开发工程师,2a582c4c753de6aa1XZ6392-E1FV,8-12K,120000,1-3年,,
132,北京,C#,大专,住新疆办事处-C#软件编程工程师,4f05c8e6ee88caa71Hx90tu9E1VR,8-12K,120000,1-3年,,
133,北京,C#,大专,后端工程师,e1979be42c1f8adc1Hx93924EFBS,7-12K,114000,1-3年,,
134,北京,C#,本科,C#软件工程师,4f7cd6623ad6a3a01Xx93d-7EFVW,5-10K,90000,1-3年,,
135,北京,C#,本科,软件实习生,f5112d303d83757e1HJ609W_EltY,2-4K,36000,在校/应届,,
136,北京,C#,本科,C#软件工程师(OFFICE插件开发),6c124350848511d11Xx80t64GVBQ,8-10K·13薪,117000,1-3年,,
137,北京,C#,本科,上位机软件开发工程师,68ac7f3da45e2bfe1Hx63t21ElRR,8-13K·13薪,136500,经验不限,,
138,北京,C#,本科,C#软件工程师,39a45a9e9b58714b3nF-2dq9EFM~,9-14K,138000,1-3年,,
139,北京,C#,本科,软件工程师,12d2f9e36d9127f51Hd63ty8F1FX,8-12K,120000,经验不限,,
140,北京,C#,本科,C#-工业自动化方向,8a339f2ca4bd7a8a1HN72d66EVVV,5-10K,90000,在校/应届,,
141,北京,C#,本科,编译器工程师,81fe11f976df4d981XNz2dS0GFpV,3-4K,42000,1-3年,,
142,北京,C#,中专/中技,C#,86f70d8c1dbaa72b3nN63N-7E1M~,4-8K,72000,1-3年,,
143,北京,C#,本科,软件开发工程师,fda1d53cdc0d87b61HN80960E1VS,6-11K,102000,1-3年,,
144,北京,C#,大专,程序员,1235677d7359f28d1Hx50ti0EVtX,6-8K,84000,经验不限,,
145,北京,C#,大专,C#/C++软件开发工程师,ae0b033ebef85a771HN73ti5EFFZ,8-12K,120000,经验不限,,
146,北京,C#,本科,系统软件工程师,66eee15ad99a95601HZ52dm0ElNS,6-11K·13薪,110500,1年以内,,
147,北京,C#,大专,C#,68cb6d3a606eb72c03V53Nm4F1c~,7-10K,102000,经验不限,,
148,北京,C#,本科,岩土工程师/地下工程师/编程/c#/c++/开发,c973aff57791121b1H1-29i8FFE~,9-14K,138000,1年以内,,
149,北京,C#,大专,开发工程师（金蝶boss平台开发）,47c8d4f4c99247850HB529y_FFc~,8-13K,126000,3-5年,,
150,北京,.NET,本科,.net软件工程师,79709fc72d0ab2261nBy2du_FlU~,9-14K,138000,经验不限,,
151,北京,.NET,本科,兼职net开发工程师,d56905d50d0ff9451XZ52tW0ElVQ,5-6K,66000,5-10年,,
152,北京,.NET,本科,.NET开发工程师,238399bd30d1cb1c1Hx72929EVVQ,8-12K·15薪,150000,1-3年,,
153,北京,.NET,本科,石油软件研发工程师,6b698e4123f6b2951HB52di-FltS,9-14K·13薪,149500,经验不限,,
154,北京,.NET,本科,.Net开发,e393ed93d7af0d711Hx83NS-FlZZ,7-9K,96000,在校/应届,,
155,北京,.NET,大专,.net,d52c86fb3423d8871HN63ti_E1VT,9-14K,138000,3-5年,,
156,北京,.NET,大专,.NET开发工程师,411fa2dd71fd9f9f1HFz296-F1dV,8-13K,126000,3-5年,,
157,北京,.NET,本科,Asp.NET程序员实习生,dc15d7214b9a50ed3nV62t21EFs~,4-8K,72000,1-3年,,
158,北京,.NET,本科,NET Core 软件?程师,733aea163fca4dfc1HN90tS7ElBZ,6-11K·13薪,110500,1-3年,,
159,北京,.NET,大专,.Net工程师,e9830d6f97ff69331Hxy3di0F1JX,6-11K,102000,1-3年,,
160,北京,.NET,大专,.NET开发工程师（满足任职要求再沟通）,7f0d6d8a19a8b8901X1y3dS5E1FQ,8-13K,126000,5-10年,,
161,北京,.NET,大专,ASP.NET中级开发工程师,a4617b8a4ad425a61nN629q6GFBZ,8-11K·13薪,123500,1年以内,,
162,北京,.NET,大专,.net开发工程师,7a4aace8da1c8a691XN72t-_FlBR,8-11K·13薪,123500,1-3年,,
163,北京,.NET,大专,.net工程师,74e42fd9e9b9ba1d1Hx73NS5FVVT,6-10K,96000,经验不限,,
164,北京,.NET,本科,.net core,7abf53aa867e48cb1Xd92dW4FVVW,6-8K,84000,1-3年,,
165,北京,.NET,本科,.net开发工程师,a2d49cedede33cf31Hd-2Nq4E1NU,8-12K·13薪,130000,在校/应届,,
166,北京,.NET,本科,软件工程师,0e74839ab45d48871HBz3t-8EVtR,8-13K,126000,经验不限,,
167,北京,.NET,本科,软件工程师,bbd1efac08d3cde31HB72NW6FltQ,8-13K,126000,3-5年,,
168,北京,.NET,本科,.NET开发工程师,212460b83e8eaeab1nB-2t-5EFdS,5-10K,90000,经验不限,,
169,北京,.NET,本科,.net开发工程师,cea46d977a123ddd1HF70tW-GFRX,6-11K,102000,1-3年,,
170,北京,.NET,大专,研发工程师(.net),d2484f58e879818e1XJ52tS8EVdS,6-10K,96000,经验不限,,
171,北京,.NET,本科,.NET,04c279443211e8df1HF73NW9GVBW,8-12K,120000,1-3年,,
172,北京,.NET,本科,.net ，c#软件开发实习岗位,11eca2b96b3b07ee3nN729m9F1o~,3-5K,48000,经验不限,,
173,北京,.NET,大专,VB6开发工程师岗位,ab4c0f19693e22d01XJy2Ny_FVdY,7-10K,102000,3-5年,,
174,北京,.NET,本科,软件开发工程师,a5880000ffb017f70XV53960EVo~,7-12K·13薪,123500,在校/应届,,
175,北京,.NET,本科,.NET工程师,bde17e21e8bb4e0a1XR42tS5EVY~,9-13K,132000,经验不限,,
176,北京,.NET,大专,后端开发,b2f7ffdf025c8fd11HJ829y_GVFS,6-8K,84000,1年以内,,
177,北京,.NET,大专,小程序开发工程师,a8c6c6e1f40423d61HFy3N26FFVV,8-13K,126000,1-3年,,
178,北京,.NET,本科,.NET,402143524b6d2dd11Hd42d28EVI~,8-12K,120000,3-5年,,
179,北京,.NET,本科,研发工程师,502fbdbe696dd5b81nZ409q9FlFY,8-10K,108000,5-10年,,
180,北京,Golang,本科,go开发工程师 24年应届生 985/211,bf4dc90a31df6e521Hx83du1E1dR,8-13K,126000,经验不限,,
181,北京,Golang,本科,后端开发实习生-生活服务,8fe3ed7f7c3a3fa11HN-39i7FFtT,8-9K,102000,经验不限,,
182,北京,Golang,本科,golang研发工程师,cae62e82fc6000fb1Hx809m8E1tW,7-12K,114000,经验不限,,
183,北京,Golang,本科,Golang,205030fd22915f7f1Hx_0965EVtZ,8-13K,126000,1-3年,,
184,北京,Golang,本科,后端研发工程师,24bfb51e096cf0551Hxy3tm4GFpQ,9-12K,126000,1-3年,,
185,北京,Golang,大专,后端开发工程师,ce10ffcd4c5f62f31Hx909m4FFFY,9-14K,138000,3-5年,,
186,北京,Golang,本科,go语言开工程师（大龄专招）,2b26c4b1c7a940221Hx53d25FltR,8-10K,108000,10年以上,,
187,北京,Golang,本科,go高级工程师,47a06fb1d2de2a3b1HB_2tS1FVVY,8-10K·13薪,117000,1-3年,,
188,北京,Golang,本科,后端工程师,698511c8fea29feb1HB62dq4F1BU,8-13K,126000,3-5年,,
189,北京,Golang,本科,后端工程师-25暑期实习,5e3aac27b8d258b61HJ63Nq_E1ZQ,5-7K,72000,在校/应届,,
190,北京,Golang,本科,后端开发实习生,33c7910d0e3c07131HNy2tm6EVVS,6-9K,90000,1-3年,,
191,北京,Golang,本科,Golang开发实习生,b6c1064bf25745a71HN90tm9EFdY,6-11K,102000,经验不限,,
192,北京,Golang,本科,go开发工程师（兼职/base西城金融街）,20bb25aed6a145391XN-39S7GVVX,8-12K,120000,3-5年,,
193,北京,Golang,本科,go后端开发工程师,56fbb724b2cdd8be1Xx70tm-ElRQ,5-8K,78000,3-5年,,
194,北京,Golang,本科,开发工程师,4a3f41d5c3c556a91HN529m8E1ZQ,8-10K,108000,经验不限,,
195,北京,Golang,本科,Go研发工程师,f4c608ae9e2dbd371HN83tm1FFFU,8-12K,120000,在校/应届,,
196,北京,Golang,本科,算力服务平台开发实习生,9a05ca485f3de8061Hd43Nu8GVBR,5-10K,90000,经验不限,,
197,北京,Golang,本科,golang、php、c,a096acdcc595d1e01XJ93d21F1NU,2-5K·16薪,56000,1-3年,,
198,北京,Golang,本科,游戏服务端开发工程师,d3845f2257f16d701HZ-09q9ElNU,8-13K,126000,1-3年,,
199,北京,Golang,大专,GO语言 网站维护工程师,e372579ad219ab651HJ62Nm9FVpW,6-10K,96000,1-3年,,
200,北京,Golang,本科,服务端开发工程师,15deb91d4047f62f1X182NW6GVVY,9-14K·13薪,149500,3-5年,,
201,北京,Golang,本科,go开发工程师,ec49883d522d38661HN-0tq5EVpQ,9-10K,114000,3-5年,,
202,北京,Golang,大专,go语言开发工程师,a14f2562a7c705ad1HZ92dy7FVNR,7-10K,102000,3-5年,,
203,北京,Golang,本科,资深后端开发工程师,81a8d4b9d86233311HJ-2d2-GFJU,30-60K·16薪,720000,5-10年,,
204,北京,Golang,本科,Golang高级开发工程师(直播+推荐相关开发),afbb51255c7b8c181Hx63N68FVBX,25-50K·15薪,562500,经验不限,,
205,北京,Golang,大专,golang开发工程师,c3d5e8453537e8c23nBy2dq0EFM~,8-13K,126000,1年以内,,
206,北京,Golang,本科,后端开发实习生,0ea5e8a6064da75c1HB43d-8FFtX,4-5K,54000,经验不限,,
207,北京,Golang,本科,高级后端研发工程师,44562ba7677b91fb1HB82Nu5GVFY,15-30K,270000,1-3年,,
208,北京,Golang,本科,Golang,8a3323915a5c29ac1XR-2dm_GVNZ,20-40K,360000,5-10年,,
209,北京,Golang,本科,golang,f3aac7a67c5584691HB809m4E1tZ,15-20K,210000,1-3年,,
210,北京,Node.js,本科,node.js后端开发,9314faf3f44e8e171HZ93tm_FFpZ,8-13K,126000,5-10年,,
211,北京,Node.js,本科,软件开发工程师,7454edf913fb06b81H1629u0FlZY,7-10K,102000,3-5年,,
212,北京,Node.js,本科,Java开发人员,6c22a1187dbd7a2d1nN-0ti1ElNS,8-12K,120000,1-3年,,
213,北京,Node.js,本科,Node.js后端开发工程师,76a1f599c43bc3481Xx60tW_FlJS,9-14K,138000,在校/应届,,
214,北京,Node.js,本科,后端开发工程师,2de48acc6d3b560b1HJy39u-GVdW,7-12K,114000,1-3年,,
215,北京,Node.js,本科,技术实习生,1208fcadbce167fd1Xx729u9F1ZW,5-8K,78000,经验不限,,
216,北京,Node.js,大专,软件开发工程师,5d41541940b149960nZ-2Nm_GVs~,7-10K·13薪,110500,1-3年,,
217,北京,Node.js,本科,大模型开发工程师,287a81d9df7f50831H1629q5FVdY,22-35K·16薪,456000,经验不限,,
218,北京,Node.js,本科,资深node后端工程师（ai产品）,c6d0891c52230a701HF529i9FVNW,30-45K·14薪,525000,3-5年,,
219,北京,Node.js,本科,Node.js开发工程师,e9fce295baa95bfc03R539S9FFA~,8-12K,120000,1-3年,,
220,北京,Node.js,本科,全栈工程师,d4ff93bb1d3f944f1HFy3dq9E1FW,15-30K,270000,3-5年,,
221,北京,Node.js,本科,后端开发工程师,850df4ecd792edf41XN82NS8EFVT,8-12K,120000,3-5年,,
222,北京,Node.js,大专,electron开发工程师,ad4b874801eeed0c1Xd90tW4FVVZ,10-15K,150000,1-3年,,
223,北京,Node.js,本科,Node.js工程师,2bb7f24a17dea38b1XF-3960E1pU,5-10K,90000,经验不限,,
224,北京,Node.js,本科,node.js全栈工程师,ff3ac6c739662bb91HNz0tu1EFVU,200-300元/天,62500,5天/周,, '本科']
225,北京,Node.js,本科,node.js开发工程师,00ad46031f4b7ffc1XB82NS7EVVU,10-15K·13薪,162500,经验不限,,
226,北京,Node.js,本科,Node.js,82ad820d50bbc94f1nV73d-6FVtV,9-14K·14薪,161000,经验不限,,
227,北京,Node.js,本科,后端开发工程师,d6f21546cd9704c603By2Ny9FlE~,7-12K·13薪,123500,1年以内,,
228,北京,Node.js,大专,后端工程师,40be4a09c601e63d1Xx-39W1F1pV,7-12K,114000,经验不限,,
229,北京,Node.js,本科,node.js全栈工程师,6fce20da284a3ce11nJ83di1GQ~~,8-16K,144000,1-3年,,
230,北京,Node.js,本科,AIGC 后端 主node js.,1ab3637160181e571HJ83ti1FlJX,30-45K,450000,5-10年,,
231,北京,Node.js,本科,Node.js,3931356efb4b8ab81nJ439W4FVo~,30-50K,480000,3-5年,,
232,北京,Node.js,本科,后端开发工程师,ccdd373eba3b502a1Xx439u0E1JX,8-10K,108000,1-3年,,
233,北京,Node.js,本科,nodejs后端开发工程师,75325199a1ae94b81X1y29S_F1RT,8-13K,126000,1-3年,,
